date, pm25, pm10, no2
2021/3/31, 29, 11, 7
2020/10/1, 22, 62, 3
2020/10/2, 78, 45, 2
2020/10/3, 84, 8, 3
2020/10/4, 36, 4, 4
2020/10/5, 13, 7, 4
2020/10/6, 16, 5, 4
2020/10/7, 20, 7, 3
2020/10/8, 14, 6, 4
2020/10/9, 14, , 
2020/10/15, 14, 8, 10
2020/10/16, 15, 8, 7
2020/10/17, 11, 6, 8
2020/10/18, 11, 17, 17
2020/10/19, 23, 7, 5
2020/10/20, 21, 12, 6
2020/10/21, 34, 4, 4
2020/10/22, 18, 12, 5
2020/10/23, 22, 7, 3
2020/10/24, 16, 7, 2
2020/10/25, 17, 7, 4
2020/10/26, 17, 9, 3
2020/10/27, 19, 13, 3
2020/10/28, 23, 11, 9
2020/10/29, 25, 10, 7
2020/10/30, 20, 10, 2
2020/10/31, 18, 8, 1
2020/11/1, 15, 6, 2
2020/11/2, 16, 12, 2
2020/11/3, 22, 11, 6
2020/11/4, 20, 19, 5
2020/11/5, 28, 21, 5
2020/11/6, 33, 11, 2
2020/11/7, 20, 19, 7
2020/11/8, 32, 10, 5
2020/11/9, 18, 7, 5
2020/11/10, 18, 14, 4
2020/11/11, 41, 6, 4
2020/11/12, 19, 7, 4
2020/11/13, 25, 10, 5
2020/11/14, 20, 10, 3
2020/11/15, 31, 9, 4
2020/11/16, 22, 10, 4
2020/11/17, 18, 9, 2
2020/11/18, 18, 12, 5
2020/11/19, 18, 27, 14
2020/11/20, 21, 6, 2
2020/11/21, 11, 17, 2
2020/11/22, 25, 15, 7
2020/11/23, 19, 9, 2
2020/11/24, 20, 15, 5
2020/11/25, 31, 12, 13
2020/11/26, 23, 18, 21
2020/11/27, 40, 4, 6
2020/11/28, 20, 1, 4
2020/11/29, 8, 3, 5
2020/11/30, 8, 5, 8
2020/12/1, 24, 8, 6
2020/12/2, 35, 20, 5
2020/12/3, 68, 13, 9
2020/12/4, 54, 15, 6
2020/12/5, 59, 14, 5
2020/12/6, 53, 12, 5
2020/12/7, 47, 8, 6
2020/12/8, 35, 10, 7
2020/12/9, 43, 9, 5
2020/12/10, 35, 7, 6
2020/12/11, 16, 7, 5
2020/12/12, 31, 2, 4
2020/12/13, 11, 4, 4
2020/12/14, 12, 5, 6
2020/12/15, 18, 10, 9
2020/12/16, 22, 5, 5
2020/12/17, 14, 10, 5
2020/12/18, 20, 7, 4
2020/12/19, 21, 10, 5
2020/12/20, 31, 11, 6
2020/12/21, 24, 5, 5
2020/12/22, 9, 20, 9
2020/12/23, 19, 4, 4
2020/12/24, 9, 4, 6
2020/12/25, 11, 6, 6
2020/12/26, 13, 3, 1
2020/12/27, 3, 5, 3
2020/12/28, 23, 7, 5
2020/12/29, 31, 4, 5
2020/12/30, 19, 2, 3
2020/12/31, 8, 5, 3
2021/1/1, 24, 5, 7
2021/1/2, 23, 2, 3
2021/1/3, 9, 4, 5
2020/7/1, 30, 13, 3
2020/7/2, 9, 10, 3
2020/7/3, 8, 6, 2
2020/7/4, 10, 8, 1
2020/7/5, 15, 14, 2
2020/7/6, 22, 14, 3
2020/7/7, 14, 10, 7
2020/7/8, 11, 14, 4
2020/7/9, 18, 11, 5
2020/7/10, 16, 14, 3
2020/7/11, 21, 14, 2
2020/7/12, 18, 13, 3
2020/7/13, 18, 7, 4
2020/7/14, 21, 7, 7
2020/7/15, 19, 12, 10
2020/7/16, 19, 10, 6
2020/7/17, 20, 7, 3
2020/7/18, 17, 13, 4
2020/7/19, 31, 10, 4
2020/7/20, 17, 11, 3
2020/7/21, 13, 11, 6
2020/7/22, 13, 12, 5
2020/7/23, 14, 4, 6
2020/7/24, 12, 9, 4
2020/7/25, 16, 7, 2
2020/7/26, 19, 9, 2
2020/7/27, 17, 7, 2
2020/7/28, 15, 11, 1
2020/7/29, 19, 14, 3
2020/7/30, 21, 11, 7
2020/7/31, 20, 8, 6
2020/8/1, 20, 8, 3
2020/8/2, 16, 12, 3
2020/8/3, 18, 12, 3
2020/8/4, 17, 9, 4
2020/8/5, 23, 14, 6
2020/8/6, 31, 18, 7
2020/8/7, 39, 17, 11
2020/8/8, 31, 19, 16
2020/8/9, 38, 16, 12
2020/8/10, 31, 12, 7
2020/8/11, 22, 11, 8
2020/8/12, 14, 17, 11
2020/8/13, 24, 16, 12
2020/8/14, 26, 22, 16
2020/8/15, 40, 21, 16
2020/8/16, 41, 26, 16
2020/8/17, 44, 24, 13
2020/8/18, 44, 15, 11
2020/8/19, 32, 8, 4
2020/8/20, 32, 7, 3
2020/8/21, 21, 13, 2
2020/8/22, 30, 10, 1
2020/8/23, 24, 6, 3
2020/8/24, 11, 6, 4
2020/8/25, 10, 4, 5
2020/8/26, 13, 10, 10
2020/8/27, 19, 8, 8
2020/8/28, 16, 3, 3
2020/8/29, 11, 6, 6
2020/8/30, 16, 6, 7
2020/8/31, 10, 12, 10
2020/9/1, 19, 10, 8
2020/9/2, 19, 13, 8
2020/9/3, 19, 11, 3
2020/9/4, 19, 11, 1
2020/9/5, 16, 10, 2
2020/9/6, 13, 10, 7
2020/9/7, 13, 15, 3
2020/9/8, 21, 12, 3
2020/9/9, 18, 10, 5
2020/9/10, 13, 13, 3
2020/9/11, 20, 13, 2
2020/9/12, 28, 13, 2
2020/9/13, 26, 18, 5
2020/9/14, 34, 14, 12
2020/9/15, 36, 10, 9
2020/9/16, 19, 8, 12
2020/9/17, 12, 18, 9
2020/9/18, 24, 10, 7
2020/9/19, 23, 4, 4
2020/9/20, 16, 6, 4
2020/9/21, 14, 9, 5
2020/9/22, 22, 19, 8
2020/9/23, 53, 15, 6
2020/9/24, 37, 9, 7
2020/9/25, 23, 4, 4
2020/9/26, 16, 14, 2
2020/9/27, 50, 31, 5
2020/9/28, 57, 7, 7
2020/9/29, 17, 6, 4
2020/9/30, 24, 11, 4
2020/4/1, 22, 34, 5
2020/4/2, 29, 25, 7
2020/4/3, 25, 14, 5
2020/4/4, 23, 17, 5
2020/4/5, 29, 22, 5
2020/4/6, 42, 31, 9
2020/4/7, 44, 36, 11
2020/4/8, 26, 21, 9
2020/4/9, 21, 19, 11
2020/4/10, 21, 15, 9
2020/4/11, 18, 16, 4
2020/4/12, 25, 8, 2
2020/4/13, 9, 14, 7
2020/4/14, 15, 35, 6
2020/4/15, 30, 22, 8
2020/4/16, 28, 15, 13
2020/4/17, 17, 10, 8
2020/4/18, 15, 13, 12
2020/4/19, 21, 25, 16
2020/4/20, 23, 20, 10
2020/4/21, 30, 29, 18
2020/4/22, 35, 21, 14
2020/4/23, 25, 18, 10
2020/4/24, 16, 9, 6
2020/4/25, 8, 13, 6
2020/4/26, 22, 9, 7
2020/4/27, 19, , 
2020/5/28, 33, 11, 12
2020/5/29, 16, , 
2020/6/2, 42, 12, 9
2020/6/3, 33, 12, 2
2020/6/4, 13, 7, 4
2020/6/5, 18, 9, 3
2020/6/6, 21, 12, 1
2020/6/7, 26, 12, 5
2020/6/8, 24, 16, 6
2020/6/9, 23, 18, 10
2020/6/10, 27, 19, 6
2020/6/11, 18, 14, 3
2020/6/12, 17, 11, 2
2020/6/13, 24, 10, 2
2020/6/14, 21, 14, 7
2020/6/15, 24, 22, 11
2020/6/16, 31, 12, 8
2020/6/17, 25, 11, 7
2020/6/18, 21, 12, 5
2020/6/19, 22, 10, 5
2020/6/20, 34, 6, 6
2020/6/21, 73, 12, 7
2020/6/22, 24, 20, 7
2020/6/23, 27, 21, 9
2020/6/24, 40, 19, 14
2020/6/25, 31, 19, 10
2020/6/26, 38, 18, 8
2020/6/27, 36, 10, 3
2020/6/28, 37, 12, 4
2020/6/29, 18, 9, 2
2020/6/30, 14, 15, 2
2020/1/1, 27, 27, 6
2020/1/2, 61, 15, 7
2020/1/3, 16, 22, 5
2020/1/4, 20, 19, 14
2020/1/5, 19, 9, 6
2020/1/6, 15, 13, 8
2020/1/7, 23, 26, 8
2020/1/8, 33, 19, 8
2020/1/9, 23, 4, 8
2020/1/10, 12, 12, 6
2020/1/11, 17, 14, 6
2020/1/12, 22, 12, 9
2020/1/13, 18, 12, 6
2020/1/14, 19, 11, 8
2020/1/15, 20, 29, 7
2020/1/16, 40, 14, 7
2020/1/17, 27, 11, 7
2020/1/18, 23, 14, 18
2020/1/19, 23, 20, 12
2020/1/20, 31, 20, 7
2020/1/21, 29, 35, 17
2020/1/22, 26, 15, 14
2020/1/23, 18, 12, 7
2020/1/24, 22, 15, 8
2020/1/25, 20, 10, 4
2020/1/26, 20, 12, 8
2020/1/27, 28, 4, 8
2020/1/28, 9, 7, 10
2020/1/29, 12, 6, 12
2020/1/30, 9, 9, 13
2020/1/31, 19, 11, 6
2020/2/1, 20, 14, 7
2020/2/2, 13, 14, 21
2020/2/3, 17, 7, 10
2020/2/4, 19, 14, 16
2020/2/5, 21, 20, 20
2020/2/6, 30, 9, 17
2020/2/7, 18, 6, 4
2020/2/8, 14, 8, 4
2020/2/9, 15, 23, 4
2020/2/10, 28, 13, 6
2020/2/11, 21, 21, 6
2020/2/12, 26, 21, 14
2020/2/13, 23, 19, 19
2020/2/14, 30, 7, 5
2020/2/15, 16, 8, 3
2020/2/16, 17, 19, 5
2020/2/17, 36, 21, 5
2020/2/18, 30, 20, 13
2020/2/19, 16, 9, 8
2020/2/20, 12, 24, 6
2020/2/21, 27, 13, 3
2020/2/22, 14, 33, 4
2020/2/23, 35, 17, 15
2020/2/24, 15, 3, 8
2020/2/25, 3, 9, 8
2020/2/26, 8, 15, 17
2020/2/27, 12, 14, 14
2020/2/28, 14, 6, 5
2020/2/29, 10, 11, 3
2020/3/1, 16, 22, 7
2020/3/2, 26, 10, 10
2020/3/3, 10, 5, 16
2020/3/4, 9, 14, 13
2020/3/5, 10, 12, 13
2020/3/6, 12, 20, 10
2020/3/7, 26, 13, 4
2020/3/8, 30, 11, 11
2020/3/9, 25, 5, 7
2020/3/10, 10, 35, 6
2020/3/11, 42, 14, 7
2020/3/12, 23, 13, 10
2020/3/13, 21, 19, 13
2020/3/14, 15, 13, 3
2020/3/15, 26, 19, 9
2020/3/16, 28, 20, 6
2020/3/17, 24, 22, 6
2020/3/18, 26, 29, 8
2020/3/19, 29, 19, 9
2020/3/20, 20, 21, 14
2020/3/21, 21, 19, 10
2020/3/22, 20, 22, 7
2020/3/23, 18, 28, 6
2020/3/24, 31, 28, 7
2020/3/25, 46, 36, 14
2020/3/26, 56, 57, 28
2020/3/27, 59, 39, 18
2020/3/28, 42, 16, 3
2020/3/29, 8, 14, 9
2020/3/30, 10, 34, 16
2020/3/31, 19, 32, 10
2019/10/3, 12, 4, 5
2019/10/4, 10, 5, 6
2019/10/5, 12, 6, 9
2019/10/6, 14, 13, 17
2019/10/7, 22, 6, 7
2019/10/8, 13, 10, 9
2019/10/9, 21, 10, 8
2019/10/10, 18, 10, 5
2019/10/11, 17, 12, 2
2019/10/12, 22, 14, 3
2019/10/13, 23, 9, 6
2019/10/14, 19, 5, 7
2019/10/15, 13, 10, 9
2019/10/16, 28, 7, 8
2019/10/17, 24, 5, 7
2019/10/18, 14, 11, 3
2019/10/19, 20, 10, 5
2019/10/20, 25, 7, 6
2019/10/21, 18, 8, 6
2019/10/22, 14, 16, 4
2019/10/23, 25, 14, 4
2019/10/24, 35, 14, 4
2019/10/25, 38, 8, 6
2019/10/26, 15, 4, 8
2019/10/27, 12, 6, 12
2019/10/28, 16, 16, 19
2019/10/29, 25, 21, 14
2019/10/30, 25, 14, 20
2019/10/31, 20, 17, 8
2019/11/1, 13, 20, 15
2019/11/2, 28, 22, 16
2019/11/3, 30, , 
2019/11/6, 14, 6, 10
2019/11/7, 17, 5, 7
2019/11/8, 17, 5, 8
2019/11/9, 13, 3, 3
2019/11/10, 11, 3, 4
2019/11/11, 12, 6, 3
2019/11/12, 27, 5, 5
2019/11/13, 23, 5, 7
2019/11/14, 27, 5, 7
2019/11/15, 21, 2, 5
2019/11/16, 14, 2, 6
2019/11/17, 12, , 4
2019/11/26, 30, 5, 9
2019/11/27, 29, 2, 10
2019/11/28, 13, 8, 12
2019/11/29, 16, 16, 31
2019/11/30, 39, 10, 21
2019/12/1, 28, 10, 28
2019/12/2, 30, , 
2019/12/9, 23, 9, 15
2019/12/10, 21, 11, 8
2019/12/11, 23, 7, 10
2019/12/12, 19, 2, 6
2019/12/13, 10, , 
2019/7/8, 18, 8, 
2019/7/9, 22, , 
2019/7/19, 27, 10, 4
2019/7/20, 18, 12, 2
2019/7/21, 20, 12, 3
2019/7/22, 14, 11, 6
2019/7/23, 9, 16, 12
2019/7/24, 21, , 
2019/8/1, 32, 14, 4
2019/8/2, 15, , 
2019/8/7, 23, 10, 5
2019/8/8, 20, 7, 9
2019/8/12, 26, 12, 3
2019/8/13, 17, 12, 3
2019/8/14, 18, 9, 5
2019/8/15, 17, 9, 4
2019/8/16, 18, 11, 4
2019/8/17, 21, 13, 4
2019/8/18, 24, 13, 5
2019/8/19, 24, 17, 4
2019/8/20, 29, 13, 5
2019/8/21, 22, 14, 6
2019/8/22, 26, 16, 5
2019/8/23, 34, 16, 6
2019/8/24, 32, 14, 12
2019/8/25, 38, 21, 13
2019/8/26, 60, 17, 7
2019/8/27, 46, 17, 8
2019/8/28, 49, , 11
2019/9/8, 18, 8, 6
2019/9/9, 20, 6, 9
2019/9/10, 18, 10, 5
2019/9/11, 28, , 7
2019/9/21, 21, 12, 4
2019/9/22, 24, 5, 
2019/9/23, 16, , 1
2019/4/1, 11, 17, 5
2019/4/2, 13, 28, 9
2019/4/3, 37, 35, 11
2019/4/4, 61, 40, 11
2019/4/5, 70, 36, 15
2019/4/6, 67, 35, 11
2019/4/7, 59, 14, 9
2019/4/8, 30, 21, 10
2019/4/9, 33, 19, 10
2019/4/10, 27, 22, 15
2019/4/11, 26, 22, 18
2019/4/12, 27, 17, 9
2019/4/13, 23, 14, 6
2019/4/14, 19, 17, 12
2019/4/15, 19, 15, 10
2019/4/16, 18, 32, 19
2019/4/17, 31, 32, 18
2019/4/18, 31, 28, 22
2019/4/19, 32, 27, 23
2019/4/20, 33, 28, 23
2019/4/21, 40, 31, 21
2019/4/22, 47, 32, 8
2019/4/23, 44, 38, 6
2019/4/24, 54, 41, 13
2019/4/25, 66, 39, 18
2019/4/26, 61, 28, 19
2019/4/27, 48, 15, 17
2019/4/28, 39, 21, 14
2019/4/29, 47, 29, 23
2019/4/30, 55, 20, 10
2019/5/1, 38, 24, 12
2019/5/2, 53, 18, 18
2019/5/3, 37, 14, 10
2019/5/4, 18, , 
2019/5/6, 13, 11, 9
2019/5/7, 15, 12, 5
2019/5/8, 16, 9, 6
2019/5/9, 24, 9, 6
2019/5/10, 24, 13, 5
2019/5/11, 21, 12, 7
2019/5/12, 18, 13, 11
2019/5/13, 38, 16, 15
2019/5/14, 44, 16, 5
2019/5/15, 42, 14, 9
2019/5/16, 36, , 
2019/5/20, 36, 19, 12
2019/5/21, 44, 14, 8
2019/5/22, 34, 12, 6
2019/5/23, 19, 10, 7
2019/5/24, 17, 13, 6
2019/5/25, 24, 10, 4
2019/5/26, 13, 8, 8
2019/5/27, 14, 11, 5
2019/5/28, 17, 14, 6
2019/5/29, 19, 11, 5
2019/5/30, 19, 10, 6
2019/5/31, 19, 11, 5
2019/6/1, 21, 9, 4
2019/6/2, 25, 10, 7
2019/6/3, 25, 12, 12
2019/6/4, 29, 15, 13
2019/6/5, 36, 18, 8
2019/6/6, 52, 15, 10
2019/6/7, 32, 9, 7
2019/6/8, 21, 10, 9
2019/6/9, 15, 12, 9
2019/6/10, 24, 13, 
2019/6/11, 28, , 
2019/6/22, 16, 11, 5
2019/6/23, 18, 12, 10
2019/6/24, 20, 13, 8
2019/6/25, 24, 22, 11
2019/6/26, 36, 18, 7
2019/6/27, 26, 14, 10
2019/6/28, 20, 16, 8
2019/6/29, 21, 17, 6
2019/6/30, 19, , 
2019/3/19, 24, 31, 13
2019/3/20, 32, 27, 9
2019/3/21, 37, 17, 13
2019/3/22, 22, 24, 7
2019/3/23, 35, 35, 7
2019/3/24, 33, 23, 13
2019/3/25, 22, 25, 17
2019/3/26, 22, 36, 22
2019/3/27, 27, 41, 14
2019/3/28, 29, 37, 10
2019/3/29, 35, 32, 7
2019/3/30, 39, 26, 13
2019/3/31, 17, 30, 13
2025/4/1, , 51, 17
2024/12/31, , 9, 1
2024/9/22, , 30, 
2024/6/13, , 8, 
2023/10/26, , 4, 4
2023/10/27, , 1, 3
2023/10/28, , 2, 2
2023/10/29, , 1, 1
2023/10/30, , 2, 4
2023/10/31, , 2, 3
2023/11/1, , 1, 4
2023/11/2, , 1, 2
2023/11/3, , 1, 3
2023/11/4, , 1, 2
2023/11/5, , 1, 2
2023/11/6, , 2, 3
2023/11/7, , 2, 6
2023/11/8, , 1, 9
2023/11/9, , 1, 10
2023/11/10, , 1, 8
2023/11/11, , 2, 6
2023/11/12, , 1, 4
2023/11/13, , 6, 2
2023/11/14, , 2, 2
2023/11/15, , 2, 3
2023/11/16, , 2, 2
2023/11/17, , 2, 5
2023/11/18, , 1, 3
2023/11/19, , 1, 2
2023/11/20, , 2, 4
2023/11/21, , 2, 4
2023/11/22, , 1, 2
2023/11/23, , 4, 5
2023/11/24, , 2, 4
2023/5/1, , 11, 6
2022/11/6, , 11, 3
2022/8/16, , 21, 3
2022/3/31, , 29, 5
2022/5/1, , 32, 6
2022/5/22, , 15, 2
2021/10/7, , 18, 5
2021/10/20, , 14, 5
2021/10/30, , 21, 3
2021/1/23, , 9, 3
2021/1/31, , 9, 14
2020/10/14, , 11, 12
2020/5/27, , 15, 11
2020/6/1, , 5, 8
2019/12/31, , 20, 7
2019/10/2, , 6, 7
2019/11/5, , 6, 9
2019/11/25, , 5, 6
2019/12/8, , 9, 6
2019/7/7, , 13, 
2019/7/18, , 13, 6
2019/7/31, , 9, 7
2019/8/6, , 15, 4
2019/8/11, , 16, 3
2019/9/7, , 8, 6
2019/9/20, , 14, 8
2019/5/5, , 12, 8
2019/5/19, , 14, 13
2019/6/21, , 13, 3
2019/3/18, , 36, 26
2015/7/1, , 21, 13
2015/7/2, , 18, 13
2015/7/3, , 25, 16
2015/7/4, , 22, 17
2015/7/5, , 20, 6
2015/7/6, , 19, 5
2015/7/7, , 16, 6
2015/7/8, , 10, 9
2015/7/9, , 13, 7
2015/7/10, , 6, 
2015/4/1, , 30, 16
2015/4/2, , 26, 17
2015/4/3, , 26, 10
2015/4/4, , 13, 19
2015/4/5, , 31, 17
2015/4/6, , 28, 16
2015/4/7, , 29, 17
2015/4/8, , 21, 23
2015/4/9, , 35, 14
2015/4/10, , 16, 5
2015/4/11, , 19, 6
2015/4/12, , 22, 12
2015/4/13, , 20, 12
2015/4/14, , 13, 15
2015/4/15, , 13, 16
2015/4/16, , 16, 14
2015/4/17, , 14, 21
2015/4/18, , 16, 8
2015/4/19, , 8, 20
2015/4/20, , 19, 23
2015/4/21, , 23, 20
2015/4/22, , 24, 10
2015/4/23, , 30, 14
2015/4/24, , 20, 9
2015/4/25, , 16, 8
2015/4/26, , 10, 16
2015/4/27, , 15, 15
2015/4/28, , 13, 15
2015/4/29, , 14, 16
2015/4/30, , 8, 9
2015/5/1, , 9, 13
2015/5/2, , 7, 19
2015/5/3, , 13, 18
2015/5/4, , 12, 6
2015/5/5, , 8, 10
2015/5/6, , 17, 8
2015/5/7, , 9, 9
2015/5/8, , 15, 7
2015/5/9, , 13, 9
2015/5/10, , 10, 7
2015/5/11, , 11, 18
2015/5/12, , 13, 15
2015/5/13, , 17, 12
2015/5/14, , 9, 17
2015/5/15, , 8, 9
2015/5/16, , 13, 5
2015/5/17, , 14, 11
2015/5/18, , 11, 13
2015/5/19, , 8, 16
2015/5/20, , 11, 15
2015/5/21, , 12, 12
2015/5/22, , 16, 5
2015/5/23, , 15, 6
2015/5/24, , 15, 10
2015/5/25, , 9, 10
2015/5/26, , 11, 11
2015/5/27, , 15, 10
2015/5/28, , 10, 10
2015/5/29, , 10, 7
2015/5/30, , 6, 5
2015/5/31, , 10, 7
2015/6/1, , 12, 15
2015/6/2, , 11, 7
2015/6/3, , 18, 8
2015/6/4, , 14, 14
2015/6/5, , 10, 8
2015/6/6, , 13, 3
2015/6/7, , 11, 8
2015/6/8, , 10, 12
2015/6/9, , 9, 12
2015/6/10, , 13, 11
2015/6/11, , 28, 17
2015/6/12, , 21, 13
2015/6/13, , 11, 7
2015/6/14, , 13, 8
2015/6/15, , 13, 10
2015/6/16, , 17, 11
2015/6/17, , 11, 11
2015/6/18, , 15, 5
2015/6/19, , 7, 6
2015/6/20, , 8, 6
2015/6/21, , 13, 5
2015/6/22, , 7, 12
2015/6/23, , 10, 10
2015/6/24, , 20, 7
2015/6/25, , 17, 13
2015/6/26, , 15, 11
2015/6/27, , 10, 9
2015/6/28, , 11, 10
2015/6/29, , 11, 9
2015/6/30, , 19, 16
2015/3/2, , 9, 16
2015/3/3, , 16, 20
2015/3/4, , 20, 32
2015/3/5, , 28, 18
2015/3/6, , 23, 7
2015/3/7, , 26, 6
2015/3/8, , 28, 18
2015/3/9, , 23, 8
2015/3/10, , 32, 13
2015/3/11, , 22, 20
2015/3/12, , 30, 15
2015/3/13, , 18, 7
2015/3/14, , 13, 4
2015/3/15, , 14, 8
2015/3/16, , 23, 7
2015/3/17, , 31, 20
2015/3/18, , 43, 38
2015/3/19, , 63, 21
2015/3/20, , 25, 8
2015/3/21, , 8, 13
2015/3/22, , 20, 9
2015/3/23, , 21, 20
2015/3/24, , 27, 10
2015/3/25, , 7, 19
2015/3/26, , 10, 25
2015/3/27, , 22, 9
2015/3/28, , 15, 9
2015/3/29, , 9, 15
2015/3/30, , 7, 16
2015/3/31, , 15, 14
2024/5/8, , , 4
2024/5/9, , , 2
2024/5/10, , , 3
2024/5/11, , , 6
2024/5/12, , , 5
2024/5/13, , , 5
2024/5/14, , , 5
2024/5/15, , , 4
2024/5/16, , , 1
2024/5/17, , , 3
2024/5/18, , , 3
2024/5/19, , , 6
2024/5/20, , , 3
2024/5/21, , , 
2024/5/22, , , 1
2024/5/23, , , 3
2024/5/24, , , 6
2024/5/25, , , 2
2024/5/26, , , 1
2024/5/27, , , 
2024/5/28, , , 2
2024/5/29, , , 1
2024/5/30, , , 1
2023/11/25, , , 5
2023/11/26, , , 16
2023/11/27, , , 9
2023/11/28, , , 5
2023/11/29, , , 9
2022/9/12, , , 4
2019/9/6, , , 6
2019/9/24, , , 
2015/3/1, , , 24